# mammos csv v3
#----------------------------------------
# Michelson's 1879 determination of the speed of light: the instrument readings.
# 
# A. A. Michelson, "Experimental Determination of the Velocity of Light", Astronomical Papers of the American Ephemeris 1 (1880) 109-145. 100 observations made at the U.S. Naval Academy, Annapolis, 5 June - 2 July 1879. Transcribed via the R package loon.data (michelson_1879); see also MacKay and Oldford, Statistical Science 15(3) 254-278 (2000), doi:10.1214/ss/1009212817.
# 
# Rotating-mirror method. Light travels from the revolving mirror to a fixed mirror and back while the mirror turns; the returned beam is deflected by twice the mirror rotation and read at radial distance r as a displacement d, giving c = 8 * pi * N * D * r / d
# 
# The apparatus constant D is the separation of the revolving and the fixed mirror. It is not part of the observation table and is recorded only here: D = 1986.23 ft = 605.4029 m
# 
# The revolving mirror rotates with frequence N. The speed of light is not stored in this file: it is derived from these readings. Note that the light travelled in air, not in vacuum.
#----------------------------------------
Frequency,RadialDistance,AngularDisplacement,Length,Distance
"Rotation rate of the revolving mirror, in revolutions per second, timed against a tuning fork. ",Distance from the axis of the revolving mirror to the crosshair of the micrometer.,"Rotation of the micrometer screw between the setting on the slit and the setting on the deflected image. Measured in in turns of the screw, not necessarily a whole number. Dimensionless.","Travel of the micrometer crosshair per one full turn of the screw. Recorded in millimetres per turn. The pitch varies along the screw, hence one calibration value per observation. EMMO has no term for screw pitch; Length is the closest I could find.","Separation of the slit and the deflected image, obtained as screw_turns * screw_pitch. "
https://w3id.org/emmo#EMMO_852b4ab8_fc29_4749_a8c7_b92d4fca7d5a,https://w3id.org/emmo#EMMO_d772fa7a_0a31_44bb_a825_ae7829d794c6,https://w3id.org/emmo#EMMO_16d72037_3243_4018_ac6c_0015f661d3c3,https://w3id.org/emmo#EMMO_cd2cd0de_e0cc_4ef1_b27e_2e88db027bac,https://w3id.org/emmo#EMMO_6ee9304e_54b7_4594_8354_0790138dffb8
Hz,m,,m,m
N,r,screw_turns,screw_pitch,d
257.36,8.739225600000001,114.55,0.00099614,0.11410783699999999
257.52,8.734044,114.56,0.00099614,0.1141177984
257.52,8.7316056,114.5,0.00099614,0.11405802999999999
193.14,8.7316056,85.84,0.00099598,0.0854949232
193.14,8.73252,85.89,0.00099598,0.0855447222
257.42,8.73252,114.53,0.00099614,0.1140879142
